epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9023,0,59.7637,0,0.00091,0.16667,0.00054,0.00011,2.14124,4.90935,1.53696,0.0001,0.0001,0.0001
2,66.6436,0,57.9369,0,0.00091,0.16667,0.00056,0.00023,2.23281,4.93895,1.55688,0.000215644,0.000215644,0.000215644
3,95.7965,0,56.2459,0,0.00061,0.11111,0.00035,9e-05,2.37781,5.69035,1.69298,0.000326536,0.000326536,0.000326536
4,122.498,0,53.3939,0,0,0,0,0,2.8272,6.82283,2.0914,0.000432676,0.000432676,0.000432676
5,150.666,0,50.1073,0,0,0,0,0,2.88022,6.9074,2.20367,0.000534064,0.000534064,0.000534064
6,179.257,0,46.9499,0,0,0,0,0,3.72756,8.22703,2.64629,0.0006307,0.0006307,0.0006307
7,206.826,0,45.4262,0,0,0,0,0,4.10226,8.53807,2.82559,0.000722584,0.000722584,0.000722584
8,234.804,0,42.9995,0,0,0,0,0,4.03769,8.24441,2.93363,0.000809716,0.000809716,0.000809716
9,262.326,0,42.3241,0,0,0,0,0,3.91117,7.53646,3.21309,0.000892096,0.000892096,0.000892096
10,289.665,0,40.3926,0,0,0,0,0,4.37891,6.59452,3.66711,0.000969724,0.000969724,0.000969724
11,317.676,0,39.5958,0,0,0,0,0,4.52253,6.6828,4.03995,0.0010426,0.0010426,0.0010426
12,345.886,0,38.5767,0,0,0,0,0,4.63634,6.88659,4.20534,0.00111072,0.00111072,0.00111072
13,373.588,0,38.2002,0,0,0,0,0,4.03577,6.57152,3.30568,0.0011741,0.0011741,0.0011741
14,400.699,0,37.2542,0,0,0,0,0,4.05839,5.98027,3.00959,0.00123272,0.00123272,0.00123272
15,427.042,0,36.246,0,0,0,0,0,4.05839,5.98027,3.00959,0.00128658,0.00128658,0.00128658
16,454.571,0,35.557,0,0,0,0,0,4.00228,169.405,2.67427,0.0013357,0.0013357,0.0013357
17,482.294,0,35.163,0,0,0,0,0,4.03159,5.82886,2.50641,0.0013664,0.0013664,0.0013664
18,509.375,0,34.8428,0,0,0,0,0,4.09599,5.55659,2.96402,0.0013268,0.0013268,0.0013268
19,536.635,0,34.432,0,0,0,0,0,4.09599,5.55659,2.96402,0.0012872,0.0012872,0.0012872
20,563.97,0,33.9715,0,0,0,0,0,4.28978,5.29189,2.32378,0.0012476,0.0012476,0.0012476
21,591.649,0,33.388,0,0,0,0,0,4.48522,6.07395,2.28035,0.001208,0.001208,0.001208
22,618.701,0,32.7479,0,0,0,0,0,4.14912,6.01147,2.21967,0.0011684,0.0011684,0.0011684
23,646.209,0,32.2016,0,0,0,0,0,4.14912,6.01147,2.21967,0.0011288,0.0011288,0.0011288
24,674.062,0,31.4597,0,0,0,0,0,4.29854,6.16073,2.46794,0.0010892,0.0010892,0.0010892
25,701.795,0,31.1505,0,0,0,0,0,3.98607,5.91114,2.92752,0.0010496,0.0010496,0.0010496
26,729.288,0,30.7994,0,0,0,0,0,4.23064,5.90453,3.35312,0.00101,0.00101,0.00101
27,755.942,0,30.2061,0,0,0,0,0,4.23064,5.90453,3.35312,0.0009704,0.0009704,0.0009704
28,782.462,0,29.7638,0,0,0,0,0,4.2644,5.82692,3.38454,0.0009308,0.0009308,0.0009308
29,809.234,0,29.5419,0,0,0,0,0,4.32938,5.81822,3.57368,0.0008912,0.0008912,0.0008912
30,836.623,0,29.3718,0,0,0,0,0,4.96526,5.97213,4.06383,0.0008516,0.0008516,0.0008516
31,864.181,0,28.9194,0,0,0,0,0,4.96526,5.97213,4.06383,0.000812,0.000812,0.000812
32,890.929,0,28.6009,0,0,0,0,0,5.22724,6.42541,4.21087,0.0007724,0.0007724,0.0007724
33,919.105,0,28.3437,0,0,0,0,0,5.1156,6.35337,4.07356,0.0007328,0.0007328,0.0007328
34,946.283,0,28.1618,0,0,0,0,0,4.79323,6.4124,3.8261,0.0006932,0.0006932,0.0006932
35,973.702,0,27.8996,0,0,0,0,0,4.79323,6.4124,3.8261,0.0006536,0.0006536,0.0006536
36,1000.89,0,27.6216,0,0,0,0,0,4.80966,6.22016,3.84924,0.000614,0.000614,0.000614
37,1028.89,0,27.3663,0,0,0,0,0,4.44326,6.01518,3.6548,0.0005744,0.0005744,0.0005744
38,1056.8,0,27.2009,0,0,0,0,0,4.56724,6.07687,3.73537,0.0005348,0.0005348,0.0005348
39,1084.34,0,26.9243,0,0,0,0,0,4.56724,6.07687,3.73537,0.0004952,0.0004952,0.0004952
40,1110.43,0,26.6982,0,0,0,0,0,4.93694,6.10267,3.72524,0.0004556,0.0004556,0.0004556
41,1138.28,0,26.6389,0,0,0,0,0,4.585,5.99983,3.26942,0.000416,0.000416,0.000416
42,1167.35,0,26.5008,0,0,0,0,0,4.29805,5.82144,2.54956,0.0003764,0.0003764,0.0003764
43,1193.95,0,26.3432,0,0,0,0,0,4.29805,5.82144,2.54956,0.0003368,0.0003368,0.0003368
44,1220.42,0,26.1228,0,0,0,0,0,4.00102,5.59478,2.3184,0.0002972,0.0002972,0.0002972
45,1247.29,0,26.1273,0,0,0,0,0,3.72079,5.47471,2.10145,0.0002576,0.0002576,0.0002576
46,1275.29,0,26.0206,0,0,0,0,0,3.87474,5.54081,2.14153,0.000218,0.000218,0.000218
47,1301.71,0,25.9384,0,0,0,0,0,3.87474,5.54081,2.14153,0.0001784,0.0001784,0.0001784
48,1328.18,0,25.8919,0,0,0,0,0,3.84079,5.56352,2.13961,0.0001388,0.0001388,0.0001388
49,1355.7,0,25.7881,0,0,0,0,0,3.81601,5.56747,2.13394,9.92e-05,9.92e-05,9.92e-05
50,1382.54,0,25.7816,0,0,0,0,0,3.81602,5.54961,2.13286,5.96e-05,5.96e-05,5.96e-05
